velocity,radius,weight,stiffness,ideal_x,ideal_y,displacement_x,displacement_y
122.2086,1.1922,10.0000,0.9287,0.8430,0.8430,-170.5975,170.3798
135.8688,39.7775,10.0000,1.8969,28.1269,28.1269,-0.0455,97.3696
19.0480,36.1977,10.0000,1.6998,25.5957,25.5957,0.0835,2.0380
137.0064,32.8854,10.0000,0.9966,23.2535,23.2535,-0.1308,188.4814
94.8539,39.3036,10.0000,1.6061,27.7919,27.7919,0.0084,55.9559
14.6311,28.0166,10.0000,1.3512,19.8107,19.8107,-0.0315,1.5220
41.7747,4.8281,10.0000,0.5241,3.4140,3.4140,-35.2896,35.3844
82.0322,19.8232,10.0000,1.1383,14.0172,14.0172,-0.1652,58.9222
143.6260,5.0605,10.0000,0.5441,3.5783,3.5783,-0.0045,379.1128
144.7333,31.1290,10.0000,1.6763,22.0115,22.0115,0.1404,124.9444
23.6420,4.4431,10.0000,1.9712,3.1418,3.1418,-3.0360,2.9029
145.5889,2.6988,10.0000,1.5349,1.9084,1.9084,-146.3233,146.5811
143.5750,2.3318,10.0000,1.6695,1.6489,1.6489,-130.9938,130.9236
72.8063,12.7327,10.0000,1.3970,9.0034,9.0034,0.0733,37.8253
120.0421,13.7708,10.0000,0.9269,9.7374,9.7374,-0.0448,155.4080
21.2830,11.7645,10.0000,1.6194,8.3187,8.3187,-0.0119,3.0487
63.2642,27.7439,10.0000,1.5408,19.6179,19.6179,-0.1268,25.8248
137.3603,5.7824,10.0000,1.1638,4.0888,4.0888,0.1635,162.1195
118.8311,26.2044,10.0000,1.1287,18.5293,18.5293,0.0627,124.9993
143.9239,7.0735,10.0000,0.7262,5.0017,5.0017,-0.0740,285.2727
98.3611,1.0696,10.0000,1.3104,0.7563,0.7563,-78.3528,78.4631
5.3568,24.9019,10.0000,0.7945,17.6083,17.6083,0.0547,0.3155
127.3694,4.6644,10.0000,1.6238,3.2982,3.2982,-106.0368,105.9306
140.0990,0.5251,10.0000,1.5735,0.3713,0.3713,-132.2359,132.3668
101.8103,12.3602,10.0000,1.5567,8.7400,8.7400,0.0803,66.4693
113.6610,30.7445,10.0000,1.6044,21.7396,21.7396,-0.0375,80.6330
111.4699,41.8244,10.0000,1.4850,29.5743,29.5743,-0.1486,83.7178
58.8341,8.8404,10.0000,1.8366,6.2511,6.2511,-0.1025,18.9310
98.3217,1.3387,10.0000,1.2366,0.9466,0.9466,-82.9484,83.0930
25.6780,15.4776,10.0000,1.0127,10.9443,10.9443,-0.0196,6.5780
105.9069,1.9583,10.0000,1.9441,1.3847,1.3847,-61.3073,61.1547
4.7749,16.0721,10.0000,0.6874,11.3647,11.3647,0.0350,0.0758
41.5384,20.8370,10.0000,0.8129,14.7340,14.7340,0.0021,21.1527
6.9257,23.4088,10.0000,0.7325,16.5525,16.5525,-0.0447,0.6749
14.5698,0.7258,10.0000,1.7114,0.5132,0.5132,-1.1304,1.1956
123.5187,10.1409,10.0000,0.6010,7.1707,7.1707,-0.0328,253.7804
104.2243,1.1504,10.0000,1.2359,0.8135,0.8135,-93.2697,93.2573
47.5649,3.7822,10.0000,1.3976,2.6744,2.6744,-17.0926,17.1778
142.5333,23.3247,10.0000,1.0475,16.4930,16.4930,-0.1000,193.8655
5.1669,35.4169,10.0000,1.5328,25.0435,25.0435,0.0800,0.1630
65.8117,2.6703,10.0000,1.7854,1.8882,1.8882,-25.6961,25.8271
57.2338,2.0213,10.0000,1.8510,1.4293,1.4293,-18.7010,18.6186
114.8275,1.5655,10.0000,1.9272,1.1069,1.1069,-72.4808,72.5136
119.2800,2.5289,10.0000,1.8501,1.7882,1.7882,-81.5096,81.5068
28.0309,29.4361,10.0000,0.5098,20.8144,20.8144,0.0325,15.2834
73.4647,21.0708,10.0000,0.5629,14.8993,14.8993,0.1544,95.7329
66.8379,34.7717,10.0000,1.8063,24.5873,24.5873,-0.1473,24.6258
96.9470,1.3345,10.0000,1.1666,0.9437,0.9437,-85.4569,85.5387
106.4047,35.5416,10.0000,1.1638,25.1317,25.1317,-0.0001,97.3099
113.2030,10.9202,10.0000,0.9959,7.7218,7.7218,-0.0982,128.6418
41.4038,24.7829,10.0000,1.9095,17.5241,17.5241,0.0501,9.2028
101.9554,47.1738,10.0000,1.5693,33.3569,33.3569,-0.0578,66.0819
98.2647,30.6601,10.0000,1.9084,21.6799,21.6799,-0.1142,50.6479
24.3918,30.9938,10.0000,1.2964,21.9159,21.9159,0.1052,4.7206
17.8497,39.4071,10.0000,0.5327,27.8650,27.8650,0.1111,6.0117
74.7546,1.9591,10.0000,1.7306,1.3853,1.3853,-34.1273,34.3221
143.9616,1.6879,10.0000,0.9312,1.1935,1.1935,-236.0114,236.1479
51.0579,16.1128,10.0000,1.8011,11.3935,11.3935,-0.0948,14.3953
87.7902,36.2235,10.0000,1.7903,25.6139,25.6139,0.0026,43.0052
33.5718,18.2688,10.0000,1.3259,12.9180,12.9180,-0.0713,8.6146
112.6901,30.6815,10.0000,1.1859,21.6951,21.6951,-0.0408,107.1606
38.2643,33.5662,10.0000,1.7750,23.7349,23.7349,-0.1750,8.3331
75.8936,22.9501,10.0000,1.0217,16.2282,16.2282,-0.0571,56.1507
104.8615,16.1998,10.0000,0.8577,11.4550,11.4550,-0.0618,128.1772
133.6355,47.0900,10.0000,0.5764,33.2976,33.2976,0.1032,309.8649
143.8937,25.2006,10.0000,0.7024,17.8195,17.8195,-0.0530,294.7836
82.0823,4.2353,10.0000,1.3672,2.9948,2.9948,-52.2944,52.2620
20.7937,3.6336,10.0000,1.8566,2.5694,2.5694,-2.3871,2.5394
22.3941,28.9303,10.0000,1.6567,20.4568,20.4568,-0.1556,3.1548
38.6262,33.5677,10.0000,1.5562,23.7360,23.7360,0.0998,9.5767
126.1076,35.0654,10.0000,1.1336,24.7950,24.7950,-0.0896,140.2656
38.1423,24.7556,10.0000,1.9368,17.5048,17.5048,0.0210,7.3629
