velocity,radius,weight,stiffness,displacement_x,displacement_y,sequence_id,step_in_sequence
122.2086,48.2808,10.0000,1.8144,1.4447,82.2192,1,1
94.6783,46.6441,10.0000,0.5084,83.3477,155.2525,1,2
111.7302,11.5042,10.0000,1.5941,2.1310,78.2577,1,3
56.9408,25.2888,10.0000,0.7782,11.2704,40.1681,1,4
64.0594,2.0009,10.0000,1.3703,-27.8593,40.6499,1,5
25.3320,28.3922,10.0000,0.6151,6.6532,7.9730,1,6
34.8382,17.7930,10.0000,1.5182,-5.0873,6.1213,1,7
115.6143,38.9112,10.0000,1.6202,-10.9152,81.7213,1,8
101.8682,32.2381,10.0000,0.8711,38.4513,112.6339,1,9
132.4298,11.3808,10.0000,1.1173,81.5233,134.2806,1,10
135.8688,41.9285,10.0000,0.8407,127.1810,179.1724,2,1
53.2610,41.6554,10.0000,1.4349,5.2536,19.0451,2,2
133.8401,20.7633,10.0000,1.8166,69.1270,70.3636,2,3
47.8602,18.7243,10.0000,1.4722,-9.3810,12.4864,2,4
143.3058,1.0833,10.0000,1.9724,-129.0825,95.9177,2,5
111.7750,44.7987,10.0000,0.5296,57.6048,228.8346,2,6
110.9748,43.0969,10.0000,1.6918,-42.6579,58.9443,2,7
102.8698,19.4492,10.0000,1.6141,-16.8640,63.3279,2,8
72.8254,45.8887,10.0000,0.5484,-29.4355,92.2055,2,9
76.7835,14.8205,10.0000,0.6495,-17.0295,89.3142,2,10
19.0480,15.9694,10.0000,0.9224,2.7506,3.0293,3,1
149.5505,37.0281,10.0000,0.9661,-36.2890,228.5005,3,2
36.3905,29.1768,10.0000,1.8056,-2.1842,6.9095,3,3
147.9077,27.4993,10.0000,0.6014,50.9627,360.1893,3,4
108.6371,40.4003,10.0000,1.0668,-3.2952,110.6890,3,5
71.5702,10.7777,10.0000,1.0731,-11.8017,46.1487,3,6
133.3489,26.1103,10.0000,1.9930,-28.6420,84.4104,3,7
130.1501,24.8122,10.0000,1.1699,2.8992,144.7086,3,8
5.2078,44.0957,10.0000,1.6165,0.2209,0.0647,3,9
56.4304,9.4756,10.0000,1.9199,9.7124,13.3325,3,10
137.0064,13.7574,10.0000,1.1262,53.3483,157.8879,4,1
33.6257,48.1767,10.0000,0.9582,6.1172,10.2407,4,2
19.4395,24.9743,10.0000,1.9937,0.1252,1.7622,4,3
107.7271,48.2371,10.0000,0.8343,22.6286,137.1535,4,4
87.1338,4.9898,10.0000,1.8665,-54.8566,47.0872,4,5
98.0167,45.4178,10.0000,1.1950,12.6561,79.4071,4,6
128.9711,49.6265,10.0000,1.5171,12.3495,108.9671,4,7
87.0765,38.5275,10.0000,1.4613,-0.1406,51.8987,4,8
17.1659,33.7516,10.0000,1.5540,-1.0340,1.6624,4,9
132.5643,28.5584,10.0000,1.0452,17.2819,167.1688,4,10
94.8539,48.7957,10.0000,0.9343,24.2251,93.2580,5,1
97.8677,40.6668,10.0000,1.1721,-40.6380,70.9487,5,2
33.7602,35.9386,10.0000,0.8722,-0.6810,13.1366,5,3
61.9775,33.7076,10.0000,1.9743,-12.3165,14.8611,5,4
81.0387,20.9843,10.0000,0.7713,-59.7871,60.6588,5,5
144.9864,32.5885,10.0000,1.1994,104.2761,141.0615,5,6
89.5591,8.2222,10.0000,1.0976,-41.2987,60.2983,5,7
93.9157,22.4014,10.0000,0.7756,43.5582,105.0161,5,8
11.4938,28.2120,10.0000,1.1227,-0.7349,0.9692,5,9
36.8643,14.7947,10.0000,0.8829,3.4831,15.0316,5,10
14.6311,11.9415,10.0000,0.6529,-0.6940,3.0618,6,1
90.7486,0.9646,10.0000,1.7575,-56.1954,59.0733,6,2
52.5021,27.4348,10.0000,1.5485,10.9326,14.0453,6,3
14.7945,42.8661,10.0000,1.4216,0.8838,1.1699,6,4
105.8162,20.2518,10.0000,1.2985,-47.8832,71.7071,6,5
46.9541,6.7382,10.0000,1.2875,-10.2657,13.9083,6,6
98.2128,4.5019,10.0000,1.1168,-72.7563,142.8445,6,7
16.6721,44.9544,10.0000,1.4327,0.2920,1.9206,6,8
91.1737,5.1409,10.0000,1.4560,-37.1080,43.4410,6,9
24.6005,29.7784,10.0000,0.8379,-2.1573,7.1262,6,10
41.7747,12.6106,10.0000,1.5886,4.0050,10.2534,7,1
58.0868,16.2836,10.0000,0.8945,-19.4325,32.2721,7,2
43.0627,13.7234,10.0000,1.0446,-9.7889,14.6648,7,3
110.1839,21.1292,10.0000,1.8313,-39.0243,53.5187,7,4
0.7543,1.3048,10.0000,1.7896,-0.2017,-0.0907,7,5
11.4659,29.9824,10.0000,1.7368,-0.5094,0.6365,7,6
137.2521,27.1341,10.0000,1.1991,103.5996,118.1436,7,7
32.0541,18.4464,10.0000,1.1535,4.7440,7.5887,7,8
35.0199,6.5886,10.0000,0.9043,-9.5461,9.5280,7,9
98.7906,44.8803,10.0000,0.5471,101.0620,146.9759,7,10
82.0322,11.5593,10.0000,1.5099,-21.2739,39.2560,8,1
21.3281,19.9899,10.0000,1.9054,0.0877,2.3400,8,2
139.1232,34.2149,10.0000,1.9011,-65.7782,77.7872,8,3
95.5959,20.4989,10.0000,0.5615,51.6693,154.3772,8,4
117.3774,21.9110,10.0000,0.6392,116.0369,181.5514,8,5
118.7123,43.4531,10.0000,1.6463,20.6367,83.1119,8,6
64.9775,26.9885,10.0000,1.0003,-22.4589,36.0786,8,7
5.4555,19.7968,10.0000,1.5246,-0.0345,0.2965,8,8
21.3017,26.9315,10.0000,1.5068,-0.4366,3.1426,8,9
38.3427,36.5196,10.0000,1.7860,-5.6558,5.7798,8,10
143.6260,1.9249,10.0000,1.5418,-217.6513,150.6388,9,1
3.7702,18.0928,10.0000,1.3620,0.0934,0.2356,9,2
7.6971,16.5356,10.0000,1.1925,-0.0851,0.3104,9,3
11.0763,1.4648,10.0000,0.6877,-1.9372,2.2521,9,4
139.0289,36.0087,10.0000,1.9701,63.3122,75.1419,9,5
54.8076,13.8612,10.0000,1.9241,-9.3246,12.6467,9,6
43.4641,9.1556,10.0000,0.6577,8.2179,27.4761,9,7
66.6817,14.5539,10.0000,0.9709,-15.2303,42.9788,9,8
79.5260,14.3370,10.0000,1.3942,-22.2822,39.4701,9,9
23.6405,2.2957,10.0000,1.5041,-3.1042,6.3990,9,10
144.7333,15.6505,10.0000,1.9499,58.9532,89.9174,10,1
63.1668,31.2745,10.0000,1.0972,8.1892,35.5294,10,2
88.9000,36.7192,10.0000,1.9373,26.6733,30.6497,10,3
18.0762,35.3384,10.0000,1.6713,-0.3674,1.7387,10,4
1.2443,49.4540,10.0000,0.8025,-0.0265,0.0090,10,5
87.7649,5.9472,10.0000,1.6719,3.2594,45.9172,10,6
94.7823,24.3806,10.0000,1.1468,-24.0287,74.2938,10,7
48.9871,4.4100,10.0000,1.1909,-32.6553,19.4186,10,8
139.5452,44.4312,10.0000,0.8764,140.0222,172.6532,10,9
41.4909,44.9671,10.0000,1.6502,-6.7202,8.1220,10,10
23.6420,26.3440,10.0000,1.7680,-1.7003,2.5501,11,1
27.6150,38.0785,10.0000,1.9082,-1.7539,3.5191,11,2
24.4348,41.7774,10.0000,1.9817,0.4846,3.0158,11,3
147.2394,29.5593,10.0000,1.9424,1.8211,111.6427,11,4
123.6943,45.7673,10.0000,1.4256,29.5337,103.1567,11,5
27.5005,4.6550,10.0000,1.3879,-7.8356,7.2198,11,6
44.3133,39.8182,10.0000,1.6637,-1.8053,11.6031,11,7
43.0941,27.6090,10.0000,1.9877,0.3140,9.3335,11,8
92.5354,37.4528,10.0000,0.8171,40.0882,96.7916,11,9
44.8063,42.8594,10.0000,1.6836,-4.6170,11.0780,11,10
145.5889,42.2589,10.0000,1.0666,69.5946,186.1496,12,1
108.8663,27.9790,10.0000,0.5127,30.3728,229.2625,12,2
125.7609,41.5849,10.0000,1.3844,60.9235,96.7351,12,3
74.5199,21.7048,10.0000,0.8162,24.5890,63.4633,12,4
115.1004,41.4736,10.0000,1.4049,-45.0542,82.8352,12,5
11.5378,31.5685,10.0000,1.4698,0.6677,0.8045,12,6
93.3043,34.8955,10.0000,0.9656,21.7781,87.4516,12,7
74.4678,30.6345,10.0000,1.5907,24.4851,24.6406,12,8
103.4838,18.4117,10.0000,1.9281,-34.6367,43.1324,12,9
0.8856,8.4052,10.0000,1.3576,0.0677,-0.0435,12,10
143.5750,17.1758,10.0000,0.6935,179.6219,236.8009,13,1
55.5544,49.6410,10.0000,1.5853,-2.1381,19.5484,13,2
25.1341,21.6360,10.0000,1.8695,-1.8481,2.5452,13,3
3.3620,18.2844,10.0000,0.9436,-0.1300,0.0733,13,4
149.5705,43.3067,10.0000,0.8754,172.0621,188.8554,13,5
23.0494,36.8871,10.0000,1.3370,0.4077,3.8412,13,6
7.1301,40.5349,10.0000,1.7286,0.1245,0.2608,13,7
27.2558,36.4210,10.0000,0.7310,-0.0879,10.0565,13,8
35.1639,3.6035,10.0000,1.0057,-17.7851,11.7678,13,9
34.2978,11.4067,10.0000,1.0678,1.5470,10.8736,13,10
72.8063,27.7872,10.0000,0.9822,-31.6980,43.6587,14,1
126.2340,40.4948,10.0000,1.0412,-103.1667,113.1120,14,2
